FILEDATE,serialno,sporder,st,PUMA,OFFPoor,wt,Age,Mar,Sex,Education,Race,Hispanic,AGI,Tax_unit,HI_premium,Moop_other,SPM_ID,SPM_Poor,SPM_PovThreshold,SPM_EquivScale,SPM_GeoAdj,SPM_NumPer,SPM_NumKids,SPM_NumAdults,SPM_TenMortStatus,SPM_Resources,SPM_Totval,SPM_SNAPSub,SPM_CapHouseSub,SPM_SchLunch,SPM_EngVal,SPM_WICval,SPM_FedTax,SPM_FedTaxBC,SPM_EITC,SPM_FICA,SPM_StTax,SPM_CapWkCCXpns,SPM_WkXpns,SPM_ChildcareXpns,SPM_Premium,SPM_MedXpns,Medicare_PartB,SPM_wCohabit,SPM_wUI_LT15
20241203,145,1,24,2401201,FALSE,76,28,Never married,1,3,1,0,74000,1450000000,5628,4269,145001,0,26364,0.6535,1.0929,2,0,2,1,74434,114000,0,0,0,0,0,11703,11703,0,8721,4415,3474,3474,0,6828,11253,0,1,0
20241203,145,2,24,2401201,FALSE,83,25,Never married,2,3,4,1,40000,1450000012,1200,156,145001,0,26364,0.6535,1.0929,2,0,2,1,74434,114000,0,0,0,0,0,11703,11703,0,8721,4415,3474,3474,0,6828,11253,0,1,0
20241203,146,1,12,1208604,FALSE,100,53,Divorced,2,4,4,1,85000,1460000000,0,1,146001,0,28248,0.6535,1.1533,2,0,2,3,65643,85000,0,0,0,0,0,10961,10961,0,6503,0,1737,1737,0,0,156,0,0,0
20241203,146,2,12,1208604,FALSE,105,74,Widowed,2,4,4,1,0,1460000012,0,156,146001,0,28248,0.6535,1.1533,2,0,2,3,65643,85000,0,0,0,0,0,10961,10961,0,6503,0,1737,1737,0,0,156,0,0,0
20241203,147,1,6,601901,FALSE,66,76,Married,1,2,1,0,102060,1470000000,521,10200,147001,0,23422,0.6535,0.9709,2,0,2,1,79754,105000,0,0,0,0,0,8123,8123,0,0,1122,0,0,0,1010,16001,1979,0,0
20241203,147,2,6,601901,FALSE,40,75,Married,2,2,1,0,102060,1470000000,1500,833,147001,0,23422,0.6535,0.9709,2,0,2,1,79754,105000,0,0,0,0,0,8123,8123,0,0,1122,0,0,0,1010,16001,1979,0,0
20241203,148,1,51,5101302,FALSE,65,58,Divorced,1,3,4,1,46200,1480000000,3782,600,148001,0,47262,1,1.2609,3,0,3,3,106572,156200,0,0,0,0,0,15241,15241,0,11858,6669,4744,4744,0,7768,11118,0,1,0
20241203,148,2,51,5101302,FALSE,77,58,Widowed,2,4,4,1,80000,1480000012,2816,2750,148001,0,47262,1,1.2609,3,0,3,3,106572,156200,0,0,0,0,0,15241,15241,0,11858,6669,4744,4744,0,7768,11118,0,1,0
20241203,148,3,51,5101302,FALSE,72,24,Never married,2,0,4,1,30000,1480000013,1171,1,148001,0,47262,1,1.2609,3,0,3,3,106572,156200,0,0,0,0,0,15241,15241,0,11858,6669,4744,4744,0,7768,11118,0,1,0
20241203,150,1,42,4200400,FALSE,22,77,Widowed,2,4,4,0,57500,1500000000,4200,160,150001,0,12482,0.4635,0.8724,1,0,1,2,49365,60500,0,0,0,0,0,4796,4796,0,0,0,0,0,0,4200,6339,1979,0,0
